flight_id,aircraft_cat,SOBT,TOBT,SID,expected_AOBT_noise,expected_EXOT,expected_EXOT_noise,deice_service_need,deice_expected_ADIT,deice_expected_ADIT_sigma,deice_expected_wait,exp_taxi_from_deice,wait_cost_per_min,delay_cost_per_min,TSAT,expected_ERZT,expected_ECZT,expected_AEZT,expected_ETOT
Flight18,M,17,17,N,0,4,0,[0],0,0.0,0,0,"(100,)",20,17,21,21,21,21
Flight19,H,18,18,W,0,4,0,[0],0,0.0,0,0,"(200,)",40,18,22,22,22,22
Flight20,M,18,18,N,0,4,0,[1],21,0.05,0,4,"(100,)",20,18,22,22,43,47
Flight21,M,19,19,N,0,4,0,[0],0,0.0,0,0,"(100,)",20,19,23,23,23,23
Flight22,M,20,20,S,0,4,0,[1],19,0.05,0,4,"(100,)",20,20,24,24,43,47
Flight23,M,24,24,N,0,4,0,[1],6,0.05,0,4,"(100,)",20,24,28,28,34,38
Flight24,H,24,24,S,0,4,0,[1],8,0.05,0,4,"(200,)",40,24,28,28,36,40
Flight25,M,24,24,E,0,4,0,[0],0,0.0,0,0,"(100,)",20,24,28,28,28,28
Flight26,M,25,25,W,0,4,0,[0],0,0.0,0,0,"(100,)",20,25,29,29,29,29
Flight27,M,26,26,N,0,4,0,[1],5,0.05,0,4,"(100,)",20,26,30,30,35,39
Flight28,M,26,26,E,0,4,0,[1],13,0.05,0,4,"(100,)",20,26,30,30,43,47
Flight29,M,29,29,N,0,4,0,[1],17,0.05,0,4,"(100,)",20,29,33,33,50,54
Flight30,M,29,29,N,0,4,0,[1],19,0.05,0,4,"(100,)",20,29,33,33,52,56
Flight31,M,30,30,N,0,4,0,[1],20,0.05,0,4,"(100,)",20,30,34,34,54,58
Flight32,M,31,31,S,0,4,0,[0],0,0.0,0,0,"(100,)",20,31,35,35,35,35
Flight33,M,33,33,N,0,4,0,[1],12,0.05,0,4,"(100,)",20,33,37,37,49,53
Flight34,M,34,34,E,0,4,0,[1],20,0.05,0,4,"(100,)",20,34,38,38,58,62
Flight35,H,36,36,S,0,4,0,[1],22,0.05,0,4,"(200,)",40,36,40,40,62,66
Flight36,M,36,36,E,0,4,0,[1],19,0.05,0,4,"(100,)",20,36,40,40,59,63
Flight37,M,39,39,N,0,4,0,[0],0,0.0,0,0,"(100,)",20,39,43,43,43,43
Flight38,M,40,40,W,0,4,0,[0],0,0.0,0,0,"(100,)",20,40,44,44,44,44
Flight39,M,43,43,N,0,4,0,[1],13,0.05,0,4,"(100,)",20,43,47,47,60,64
Flight40,M,45,45,N,0,4,0,[0],0,0.0,0,0,"(100,)",20,45,49,49,49,49
Flight41,M,45,45,E,0,4,0,[1],8,0.05,0,4,"(100,)",20,45,49,49,57,61
Flight42,M,45,45,N,0,4,0,[0],0,0.0,0,0,"(100,)",20,45,49,49,49,49
Flight43,M,47,47,W,0,4,0,[0],0,0.0,0,0,"(100,)",20,47,51,51,51,51
Flight44,M,48,48,N,0,4,0,[1],17,0.05,0,4,"(100,)",20,48,52,52,69,73
Flight45,M,48,48,E,0,4,0,[0],0,0.0,0,0,"(100,)",20,48,52,52,52,52
Flight46,M,48,48,N,0,4,0,[1],15,0.05,0,4,"(100,)",20,48,52,52,67,71
Flight47,M,49,49,N,0,4,0,[0],0,0.0,0,0,"(100,)",20,49,53,53,53,53
Flight48,M,49,49,N,0,4,0,[1],19,0.05,0,4,"(100,)",20,49,53,53,72,76
Flight49,M,51,51,N,0,4,0,[1],19,0.05,0,4,"(100,)",20,51,55,55,74,78
Flight50,H,51,51,E,0,4,0,[1],15,0.05,0,4,"(200,)",40,51,55,55,70,74
Flight51,M,52,52,N,0,4,0,[0],0,0.0,0,0,"(100,)",20,52,56,56,56,56
Flight52,M,54,54,N,0,4,0,[1],14,0.05,0,4,"(100,)",20,54,58,58,72,76
Flight53,H,56,56,E,0,4,0,[0],0,0.0,0,0,"(200,)",40,56,60,60,60,60
Flight54,H,58,58,S,0,4,0,[1],19,0.05,0,4,"(200,)",40,58,62,62,81,85
Flight55,M,58,58,S,0,4,0,[0],0,0.0,0,0,"(100,)",20,58,62,62,62,62
Flight56,M,58,58,S,0,4,0,[0],0,0.0,0,0,"(100,)",20,58,62,62,62,62
Flight57,M,60,60,S,0,4,0,[1],18,0.05,0,4,"(100,)",20,60,64,64,82,86
Flight58,M,62,62,N,0,4,0,[1],12,0.05,0,4,"(100,)",20,62,66,66,78,82
Flight59,M,62,62,N,0,4,0,[1],13,0.05,0,4,"(100,)",20,62,66,66,79,83
Flight60,M,62,62,N,0,4,0,[1],18,0.05,0,4,"(100,)",20,62,66,66,84,88
Flight61,M,63,63,N,0,4,0,[0],0,0.0,0,0,"(100,)",20,63,67,67,67,67
Flight62,M,63,63,N,0,4,0,[0],0,0.0,0,0,"(100,)",20,63,67,67,67,67
Flight63,M,63,63,N,0,4,0,[0],0,0.0,0,0,"(100,)",20,63,67,67,67,67
Flight64,M,64,64,S,0,4,0,[0],0,0.0,0,0,"(100,)",20,64,68,68,68,68
Flight65,M,64,64,S,0,4,0,[0],0,0.0,0,0,"(100,)",20,64,68,68,68,68
Flight66,M,65,65,N,0,4,0,[1],20,0.05,0,4,"(100,)",20,65,69,69,89,93
Flight67,M,66,66,N,0,4,0,[0],0,0.0,0,0,"(100,)",20,66,70,70,70,70
Flight68,M,66,66,S,0,4,0,[0],0,0.0,0,0,"(100,)",20,66,70,70,70,70
Flight69,M,67,67,E,0,4,0,[0],0,0.0,0,0,"(100,)",20,67,71,71,71,71
Flight70,M,68,68,S,0,4,0,[1],4,0.05,0,4,"(100,)",20,68,72,72,76,80
Flight71,M,69,69,E,0,4,0,[0],0,0.0,0,0,"(100,)",20,69,73,73,73,73
Flight72,M,71,71,N,0,4,0,[0],0,0.0,0,0,"(100,)",20,71,75,75,75,75
Flight73,M,73,73,W,0,4,0,[1],4,0.05,0,4,"(100,)",20,73,77,77,81,85
Flight74,M,74,74,E,0,4,0,[1],13,0.05,0,4,"(100,)",20,74,78,78,91,95
Flight75,H,74,74,S,0,4,0,[0],0,0.0,0,0,"(200,)",40,74,78,78,78,78
Flight76,M,74,74,N,0,4,0,[0],0,0.0,0,0,"(100,)",20,74,78,78,78,78
Flight77,H,76,76,N,0,4,0,[0],0,0.0,0,0,"(200,)",40,76,80,80,80,80
Flight78,H,77,77,N,0,4,0,[1],7,0.05,0,4,"(200,)",40,77,81,81,88,92
Flight79,H,79,79,N,0,4,0,[0],0,0.0,0,0,"(200,)",40,79,83,83,83,83
Flight80,H,79,79,N,0,4,0,[1],17,0.05,0,4,"(200,)",40,79,83,83,100,104
